gRNA	gene	S1	S2	S3
ABL2_+_179198340.23-P2|ABL2_+_179198740.23-P2	ABL2	   nan	   nan	   nan
ABLIM1_+_116418018.23-ENST00000277895.5|ABLIM1_-_116417810.23-ENST00000277895.5	ABLIM1	   nan	   nan	   nan
ABLIM2_+_8160523.23-P1P2|ABLIM2_+_8160328.23-P1P2	ABLIM2	   nan	   nan	   nan
ABLIM3_-_148521229.23-P1P2|ABLIM3_+_148521102.23-P1P2	ABLIM3	   nan	   nan	   nan
ABO_+_136150601.23-P1|ABO_+_136150587.23-P1	ABO	   nan	   nan	   nan
ABO_-_136130921.23-P2|ABO_-_136130959.23-P2	ABO	   nan	   nan	   nan
ABRACL_+_139349876.23-P1P2|ABRACL_+_139349879.23-P1P2	ABRACL	   nan	   nan	   nan
ABRA_+_107782422.23-P1P2|ABRA_+_107782407.23-P1P2	ABRA	   nan	   nan	   nan
ABR_+_1083212.23-P1P2|ABR_+_1082862.23-P1P2	ABR	   nan	   nan	   nan
ABT1_-_26597263.23-P1P2|ABT1_+_26597412.23-P1P2	ABT1	   nan	   nan	   nan
ABTB1_+_127391828.23-P1P2|ABTB1_+_127391831.23-P1P2	ABTB1	   nan	   nan	   nan
ABTB2_-_34379521.23-P1P2|ABTB2_-_34379465.23-P1P2	ABTB2	   nan	   nan	   nan
ACAA1_-_38178575.23-P1P2|ACAA1_+_38178488.23-P1P2	ACAA1	   nan	   nan	   nan
ACAA2_-_47339855.23-P1P2|ACAA2_-_47339858.23-P1P2	ACAA2	   nan	   nan	   nan
ACACA_-_35716041.23-P1P2|ACACA_-_35716002.23-P1P2	ACACA	   nan	   nan	   nan
ACACB_+_109569170.23-P1|ACACB_+_109569160.23-P1	ACACB	   nan	   nan	   nan
ACACB_-_109592519.23-P2|ACACB_-_109592496.23-P2	ACACB	   nan	   nan	   nan
ACAD10_-_112123907.23-P1P2|ACAD10_-_112123894.23-P1P2	ACAD10	   nan	   nan	   nan
ACAD11_+_132379379.23-P1P2|ACAD11_-_132379444.23-P1P2	ACAD11	   nan	   nan	   nan
ACAD8_-_134123507.23-P1P2|ACAD8_-_134123448.23-P1P2	ACAD8	   nan	   nan	   nan
ACAD9_-_128598508.23-P1P2|ACAD9_-_128598499.23-P1P2	ACAD9	   nan	   nan	   nan
ACADL_-_211090095.23-P1P2|ACADL_-_211090048.23-P1P2	ACADL	   nan	   nan	   nan
ACADM_-_76190475.23-P1P2|ACADM_+_76190432.23-P1P2	ACADM	   nan	   nan	   nan
