sgrna	X1	X2
PPIH_-_43124126.23-P1P2|PPIH_+_43124361.23-P1P2	1.000000e+00	1.643197e+00
SDC3_-_31381437.23-P1P2|SDC3_+_31381537.23-P1P2	1.000000e+00	1.581862e+00
CYP46A1_-_100151011.23-P1P2|CYP46A1_+_100150837.23-P1P2	1.000000e+00	1.174116e+00
VWA3A_+_22103915.23-P1P2|VWA3A_-_22103914.23-P1P2	1.000000e+00	1.160027e+00
KIAA0247_-_70078442.23-P1P2|KIAA0247_+_70078343.23-P1P2	1.000000e+00	1.068534e+00
SUDS3_+_118814387.23-P1P2|SUDS3_-_118814571.23-P1P2	1.000000e+00	1.636186e+00
APOM_+_31620398.23-P1P2|APOM_+_31620401.23-P1P2	1.000000e+00	1.073881e+00
PDZRN3_-_73674050.23-P1P2|PDZRN3_-_73674040.23-P1P2	1.000000e+00	1.098998e+00
INSC_+_15136506.23-P1P2|INSC_+_15136516.23-P1P2	1.000000e+00	1.426098e+00
CMTM1_-_66601093.23-P1P2|CMTM1_-_66601507.23-P1P2	1.000000e+00	1.689865e+00
QKI_+_163835781.23-P1P2|QKI_-_163836228.23-P1P2	1.000000e+00	1.151253e+00
MEF2BNB_+_19303371.23-P1P2|MEF2BNB_-_19302936.23-P1P2	1.000000e+00	1.127740e+00
TCF3_+_1652583.23-P1P2|TCF3_+_1652574.23-P1P2	1.000000e+00	1.179009e+00
FLYWCH2_-_2933291.23-P1P2|FLYWCH2_-_2933312.23-P1P2	1.000000e+00	1.547576e+00
PAPSS2_+_89419690.23-P1P2|PAPSS2_+_89419678.23-P1P2	1.000000e+00	1.064236e+00
SERF2_+_44084560.23-P1|SERF2_+_44084578.23-P1	1.804547e+00	3.838156e+00
SERF2_-_44069614.23-P2|SERF2_-_44069628.23-P2	1.954535e-01	6.673091e-02
PHF14_+_11013502.23-P1P2|PHF14_+_11013552.23-P1P2	1.000000e+00	1.594558e+00
IMMP2L_+_111202359.23-P1P2|IMMP2L_+_111202282.23-P1P2	1.000000e+00	1.451766e+00
AKT1_+_105261633.23-P1P2|AKT1_+_105262011.23-P1P2	1.000000e+00	1.052530e+00
PACRG_-_163148302.23-P1P2|PACRG_-_163148354.23-P1P2	1.000000e+00	1.178364e+00
FADS2_+_61584226.23-P2|FADS2_+_61583853.23-P2	8.675840e-01	8.079580e-01
FADS2_-_61595787.23-P1|FADS2_-_61595853.23-P1	1.132416e+00	1.381703e+00
SLC29A4_-_5323085.23-P1P2|SLC29A4_-_5322720.23-P1P2	1.000000e+00	1.188666e+00
RPRML_-_45056588.23-P1P2|RPRML_+_45056632.23-P1P2	1.000000e+00	1.183000e+00
DTX3L_+_122283253.23-P1P2|DTX3L_+_122283258.23-P1P2	1.000000e+00	1.526210e+00
RNF166_-_88769945.23-P2|RNF166_+_88769948.23-P2	4.163721e-01	2.126081e-01
RNF166_-_88772655.23-P1|RNF166_-_88772739.23-P1	1.583628e+00	2.661162e+00
