gRNA	gene	S1	S2	S3
ABHD12_+_25371393.23-P1P2|ABHD12_+_25371436.23-P1P2	ABHD12	1.665283e-01	-8.062929e-01	-1.828003e-01
ABHD13_+_108871155.23-P1P2|ABHD13_+_108870795.23-P1P2	ABHD13	-6.724851e-02	-1.026794e-01	-3.403087e-01
ABHD14A_+_52009255.23-P1P2|ABHD14A_+_52009194.23-P1P2	ABHD14A	-1.305631e-01	2.318979e-01	7.349799e-01
ABHD14B_+_52017350.23-P2|ABHD14B_-_52016965.23-P2	ABHD14B	-9.109422e-02	3.830131e-01	7.156817e-02
ABHD14B_-_52007985.23-P1|ABHD14B_-_52008040.23-P1	ABHD14B	-4.280293e-01	-3.306410e-01	-2.127535e-01
ABHD15_-_27894008.23-P1P2|ABHD15_-_27893980.23-P1P2	ABHD15	1.381869e+00	1.441868e+00	8.487462e-01
ABHD16A_-_31670764.23-P1P2|ABHD16A_+_31670831.23-P1P2	ABHD16A	-1.061633e+00	-9.250298e-01	-9.188214e-02
ABHD16B_-_62492870.23-P1P2|ABHD16B_+_62492837.23-P1P2	ABHD16B	1.315899e-01	-9.487898e-01	-6.837197e-02
ABHD17A_-_1885483.23-P1P2|ABHD17A_+_1885470.23-P1P2	ABHD17A	-1.960900e-01	-8.108209e-01	-2.778856e-02
ABHD17B_+_74526089.23-P1P2|ABHD17B_+_74525862.23-P1P2	ABHD17B	-1.783333e-01	-2.493257e-02	4.658158e-01
ABHD17C_+_80987703.23-P1P2|ABHD17C_+_80987662.23-P1P2	ABHD17C	5.770368e-01	-4.984863e-02	-4.585623e+00
ABHD1_-_27346733.23-P1P2|ABHD1_+_27346724.23-P1P2	ABHD1	3.352742e-01	-3.269869e-01	3.912727e-01
ABHD2_-_89631760.23-P1P2|ABHD2_-_89631738.23-P1P2	ABHD2	-7.232038e-01	1.815828e-02	-2.052205e-01
ABHD3_-_19284770.23-P1P2|ABHD3_+_19284534.23-P1P2	ABHD3	2.588559e+00	-5.173684e-02	6.644271e-01
ABHD4_-_23067199.23-P1P2|ABHD4_+_23067144.23-P1P2	ABHD4	1.167847e+00	1.703440e+00	1.287911e+00
ABHD5_-_43732464.23-P1P2|ABHD5_-_43732422.23-P1P2	ABHD5	1.303681e-01	-2.607713e-02	1.004998e+00
