sgRNA	Gene	s1_l1_rep1	s2_l2_rep2	s3_l3_rep3	s1_h1_rep1	s2_h2_rep2	s3_h3_rep3
UROD_-_45477940.23-P1P2|UROD_-_45477955.23-P1P2	UROD	1019.7	2224.2	1029.8	8866.5	9171.5	7340.2
NOTCH3_+_15311800.23-P1P2|NOTCH3_-_15311996.23-P1P2	NOTCH3	39.146	330.04	7.5243	1435	3440.3	1314.5
MAP2K7_-_7968835.23-P1P2|MAP2K7_+_7968839.23-P1P2	MAP2K7	0	0.79721	1.0749	210.93	106.07	178.72
PRPF38B_+_109234979.23-P1P2|PRPF38B_+_109235390.23-P1P2	PRPF38B	0	0	1.0749	369.91	170.63	178.72
BAD_+_64052108.23-P1P2|BAD_+_64052144.23-P1P2	BAD	3673.2	3573.1	3692.3	19193	15869	18637
NADK_+_1709845.23-P1|NADK_+_1709806.23-P1	NADK	3.7282	115.6	654.62	2534.3	2836.2	1524
NPRL2_+_50388166.23-P1P2|NPRL2_+_50388201.23-P1P2	NPRL2	175.23	470.35	187.03	2130.1	3643.2	3294.9
CLASP1_-_122406626.23-P1P2|CLASP1_-_122406649.23-P1P2	CLASP1	246.99	0.79721	1.0749	23.899	225.97	204.67
HSD17B7_-_162760668.23-P2|HSD17B7_-_162760684.23-P2	HSD17B7	1167.9	1184.7	1084.6	7561.4	9249.9	9838.5
PREP_+_105850963.23-P1P2|PREP_-_105850922.23-P1P2	PREP	1169.7	952.66	1030.8	8761.6	8590.4	7245.1
ZER1_+_131534142.23-P1P2|ZER1_-_131534162.23-P1P2	ZER1	672.01	969.41	268.73	6699	8175.3	6509
TRMT44_+_8442671.23-P1P2|TRMT44_+_8442568.23-P1P2	TRMT44	338.34	3.986	3.2247	654.62	408.13	81.675
GNL2_+_38061508.23-P1P2|GNL2_+_38061333.23-P1P2	GNL2	0	0	0	238.99	0	172.96
PPAN_-_10217074.23-P1P2|PPAN_-_10217084.23-P1P2	PPAN	0	1.5944	1.0749	201.58	0	318.05
AMY2A_-_104159867.23-P1P2|AMY2A_+_104159840.23-P1P2	AMY2A	0	0	127.91	269.12	171.78	90.323
RIOK2_+_96518912.23-P1P2|RIOK2_+_96518907.23-P1P2	RIOK2	343	1.5944	8.5992	130.92	637.56	605.36
NOP58_-_203130504.23-P1P2|NOP58_-_203130508.23-P1P2	NOP58	0	0	5.3745	206.78	1.1529	171.04
UBA1_-_47053260.23-P1|UBA1_-_47053257.23-P1	UBA1	1906	1135.2	1208.2	9684.3	8427.8	9212.9
ARHGAP33_+_36266681.23-P1P2|ARHGAP33_+_36266470.23-P1P2	ARHGAP33	1.8641	0.79721	108.57	150.67	420.82	264.24
ATP6V0D1_-_67515053.23-P1P2|ATP6V0D1_-_67515028.23-P1P2	ATP6V0D1	0.93205	1.5944	0	101.83	299.76	180.65
RASL10B_+_34058714.23-P1P2|RASL10B_-_34058722.23-P1P2	RASL10B	2077.5	1744.3	1975.7	12438	10963	12120
FAF2_-_175875400.23-P1P2|FAF2_-_175875441.23-P1P2	FAF2	623.54	872.15	749.21	5307.6	6816.1	7067.3
PPP1R3D_-_58514882.23-P1P2|PPP1R3D_-_58514948.23-P1P2	PPP1R3D	0	113.2	1.0749	1.0391	483.07	193.14
KCNJ4_+_38851571.23-P1P2|KCNJ4_+_38851618.23-P1P2	KCNJ4	1955.4	1475.6	2184.2	11677	11950	13215
FAM105B_-_14664842.23-P1P2|FAM105B_+_14664857.23-P1P2	FAM105B	1271.3	2199.5	1322.1	7647.7	9373.2	10596
WDYHV1_-_124429467.23-P1P2|WDYHV1_+_124429031.23-P1P2	WDYHV1	0	0.79721	0	2.0782	161.41	281.54
NIP7_-_69373724.23-P1P2|NIP7_-_69373710.23-P1P2	NIP7	109.05	0	2.1498	0	272.09	511.19
RPL5_+_93297664.23-P1P2|RPL5_-_93297968.23-P1P2	RPL5	101.59	4.7833	1.0749	844.78	314.75	415.1
HMGCR_+_74633092.23-P1P2|HMGCR_+_74633106.23-P1P2	HMGCR	0	0	1.0749	0	236.35	160.47
ATP2A2_+_110719114.23-P1P2|ATP2A2_+_110719087.23-P1P2	ATP2A2	226.49	841.85	333.22	3186.9	5643.5	4168.3
SLC25A27_+_46620627.23-P1P2|SLC25A27_-_46620950.23-P1P2	SLC25A27	0	94.868	1.0749	10.391	443.87	187.37
ABHD3_-_19284770.23-P1P2|ABHD3_+_19284534.23-P1P2	ABHD3	0.93205	0	96.741	172.49	0	182.57
ZBTB14_-_5295498.23-P1P2|ZBTB14_+_5295839.23-P1P2	ZBTB14	77.36	0.79721	2.1498	784.51	2.3058	268.09
PSORS1C2_-_31106782.23-P1P2|PSORS1C2_+_31106355.23-P1P2	PSORS1C2	0.93205	1.5944	1.0749	86.244	185.62	580.37
PRDX4_-_23685876.23-P1P2|PRDX4_-_23685647.23-P1P2	PRDX4	73.632	0	1.0749	4.1563	247.88	184.49
PATE3_-_125658040.23-P1P2|PATE3_-_125658150.23-P1P2	PATE3	4.6603	96.462	2.1498	327.31	428.89	401.65
ORAOV1_+_69490047.23-P1P2|ORAOV1_-_69490100.23-P1P2	ORAOV1	272.16	345.99	546.05	4633.3	4170.1	3940.6
C17orf72_-_62076003.23-P1P2|C17orf72_-_62075784.23-P1P2	C17orf72	557.37	1065.1	879.27	7001.4	7420.2	7090.4
ARID2_-_46123531.23-P1P2|ARID2_+_46123520.23-P1P2	ARID2	1020.6	334.03	581.52	4027.5	8107.3	5561.6
CXorf22_+_35937951.23-P1P2|CXorf22_-_35937932.23-P1P2	CXorf22	804.36	502.24	1088.9	6709.4	7186.1	6233.3
CABP7_-_30116226.23-P1P2|CABP7_-_30116046.23-P1P2	CABP7	2834.4	1650.2	1977.8	11172	15480	11373
EDC4_-_67906984.23-P1P2|EDC4_-_67907370.23-P1P2	EDC4	648.71	1879	916.89	7165.5	5454.5	7731.3
MRPL32_+_42972018.23-P1P2|MRPL32_-_42972023.23-P1P2	MRPL32	303.85	0.79721	0	194.31	153.34	19.218
